entry,exit
34.85,34.83
34.84,34.81
34.84,34.81
34.83,34.81
34.81,34.79
34.79,34.84
34.84,34.82
34.83,34.8
34.82,34.8
34.8,34.77
34.81,34.78
34.8,34.77
34.8,34.82
34.8,34.82
34.79,34.8
34.8,34.82
34.8,34.82
34.81,34.78
34.82,34.8
34.81,34.8
34.8,34.78
34.78,34.81
34.81,34.77
34.82,34.77
34.82,34.77
34.77,34.8
34.78,34.8
34.8,34.88
34.8,34.81
34.8,34.88
34.81,34.88
34.81,34.88
34.8,34.81
34.81,34.88
34.81,34.88
34.81,34.88
34.91,34.93
34.93,34.96
34.93,34.96
34.96,34.945
34.945,34.93
34.95,34.94
34.95,34.93
34.95,34.93
34.94,34.91
34.935,34.91
34.93,34.91
34.91,34.87
34.87,34.89
34.89,34.86
34.89,34.86
34.88,34.86
34.86,34.9
34.9,34.86
34.91,34.89
34.9,34.91
34.9,34.86
34.9,34.91
34.91,34.89
34.9,34.86
34.89,34.86
34.9,34.86
34.89,34.86
34.86,34.91
34.91,34.88
34.88,34.89
34.89,34.87
34.87,34.9
34.88,34.9
34.9,34.86
34.86,34.81
34.81,34.79
34.8,34.84
34.8,34.84
34.79,34.81
34.81,34.84
34.84,34.86
34.86,34.84
34.84,34.89
34.89,34.87
34.89,34.87
34.88,34.89
34.89,34.87
34.88,34.85
34.87,34.85
34.85,34.9
34.9,34.92
34.92,34.9
34.9,34.92
34.92,34.88
34.88,34.92
34.92,34.89
34.91,34.89
34.89,34.9
34.9,34.88
34.88,34.86
34.88,34.86
34.88,34.86
34.86,34.83
34.83,34.78
34.78,34.76
34.77,34.75
34.77,34.75
34.76,34.77
34.76,34.773
34.77,34.75
34.77,34.75
34.77,34.75
34.75,34.773
34.76,34.773
34.773,34.72
34.72,34.74
34.74,34.75
34.75,34.77
34.75,34.77
34.77,34.75
34.75,34.76
34.76,34.75
34.76,34.75
34.76,34.75
34.75,34.76
34.76,34.745
34.745,34.78
34.78,34.8
34.8,34.86
34.8,34.86
34.8,34.86
34.81,34.79
34.81,34.79
34.81,34.79
34.81,34.79
34.8,34.86
34.8,34.86
34.8,34.86
34.79,34.81
34.81,34.79
34.8,34.86
34.8,34.86
34.8,34.81
34.8,34.86
34.8,34.81
34.81,34.79
34.81,34.79
34.79,34.81
34.81,34.86
34.81,34.86
34.86,34.84
34.85,34.83
34.85,34.86
34.86,34.85
34.85,34.83
34.85,34.83
34.84,34.86
34.86,34.83
34.86,34.83
34.86,34.83
34.83,34.81
34.81,34.82
34.82,34.85
34.85,34.83
34.85,34.86
34.86,34.83
34.83,34.81
34.84,34.81
34.84,34.81
34.83,34.81
34.81,34.83
34.83,34.8
34.82,34.8
