split,train_size,test_size,Cumulative Return,Annualized Return,Annualized Volatility,Sharpe Ratio,Max Drawdown,Win Rate,precision_1,recall_1,f1_1,precision_neg1,recall_neg1,f1_neg1
1,10080,20158,2.0586756392264114,2.5735998664800857,26.376385839096567,0.09757211932596735,-1.136006724657439,0.5436055164202798,0.53109396277803,0.9223492313756405,0.6740602045225407,0.6816343042071198,0.1702536122057189,0.2724553318780823
2,10079,20159,12.801844919571195,16.003099954025206,129.02911194936232,0.12402704871987066,-1.2064214968433777,0.6038493972915323,0.6019952743502232,0.6793403120679439,0.6383334106620888,0.6225196123673281,0.5435680467412108,0.5803710674912611
3,10079,20159,1.8417808765235233,2.3023402990422537,15.332382566044242,0.15016193922405224,-1.0231790727478323,0.5935810308050995,0.6841254445522147,0.4083365495947511,0.5114199395770392,0.5529049358836593,0.8017868273426138,0.6544837820648718
